None,mdate,open_d,high_d,low_d,close_d,volume
0,2020-01-02,332.5,339.0,332.5,339.0,33282.12
1,2020-01-03,344.0,345.0,335.5,339.5,42023.268
2,2020-01-06,333.0,334.5,332.0,332.0,45677.057
3,2020-01-07,332.5,333.0,326.5,329.5,51746.181
4,2020-01-08,325.0,333.0,325.0,329.5,37913.748
5,2020-01-09,335.0,337.5,333.5,337.5,32397.504
6,2020-01-10,340.5,341.0,336.0,339.5,27880.115
7,2020-01-13,342.0,342.0,339.0,341.5,30663.332
8,2020-01-14,345.5,346.0,344.5,346.0,30368.993
9,2020-01-15,345.0,345.0,337.5,340.0,54575.274
10,2020-01-16,330.0,336.5,330.0,334.5,58217.42
11,2020-01-17,334.0,335.5,332.0,333.0,53908.097
12,2020-01-20,334.0,335.5,333.0,333.0,35551.203
13,2020-01-30,326.0,326.0,316.5,316.5,126820.049
14,2020-01-31,323.0,323.5,319.0,320.0,62912.055
15,2020-02-03,315.0,316.5,312.0,315.0,59711.849
16,2020-02-04,319.0,326.0,318.0,325.0,52208.496
17,2020-02-05,329.0,329.5,324.5,327.5,36601.453
18,2020-02-06,329.5,332.5,329.0,332.5,29659.094
19,2020-02-07,330.0,330.5,326.0,328.0,30055.327
20,2020-02-10,321.5,328.0,321.0,327.5,30814.424
21,2020-02-11,330.5,332.5,330.0,331.5,29062.935
22,2020-02-12,333.5,336.0,333.0,335.0,37612.639
23,2020-02-13,338.0,338.0,335.0,335.0,23217.021
24,2020-02-14,337.0,337.0,334.5,335.0,18326.683
25,2020-02-17,331.5,333.0,330.5,331.5,16145.079
26,2020-02-18,324.5,326.5,322.0,322.0,64662.604
27,2020-02-19,322.5,327.0,322.0,326.5,48856.218
28,2020-02-20,328.0,329.0,325.0,325.5,27061.736
29,2020-02-21,325.5,326.5,323.0,325.0,22974.534
30,2020-02-24,319.5,321.5,319.5,320.0,42946.68
31,2020-02-25,320.0,323.5,317.5,322.0,38674.011
32,2020-02-26,317.0,320.5,316.5,318.5,60768.362
33,2020-02-27,319.0,320.0,315.0,316.0,62401.927
34,2020-03-02,308.0,317.0,308.0,311.0,86372.942
35,2020-03-03,318.5,320.0,316.0,317.5,55169.411
36,2020-03-04,322.0,322.0,317.0,320.5,44745.146
37,2020-03-05,325.0,326.0,323.0,323.0,38223.525
